№,設置施設,施設の住所,トイレの緯度,トイレの経度,備考（トイレの位置）,担当課
1,大垣公園,大垣市郭町2丁目53,35.361715,136.61514,大垣公園（西）,公園みどり課
2,大垣城,大垣市郭町2丁目52,35.3618696,136.616562,大垣城（東）,文化振興課
3,新大橋,大垣市郭町1丁目2,35.363357,136.617586,,環境衛生課
4,貴船橋,大垣市本町1丁目1,35.363218,136.61893,,環境衛生課
5,見取公園,大垣市見取町4丁目7,35.366069,136.613876,,公園みどり課
6,東公園,大垣市緑園1,35.360181,136.628081,東公園（南）,公園みどり課
7,東公園,大垣市緑園1,35.362162,136.628878,東公園（北）,公園みどり課
8,競輪場,大垣市住吉町4丁目,35.360489,136.631693,駐車場,環境衛生課
9,藤江公園,大垣市藤江町2丁目191,35.365903,136.625429,,公園みどり課
10,木戸公園,大垣市木戸町2丁目113,35.366176,136.60672,,公園みどり課
11,西木戸公園,大垣市木戸町1095番地2,35.362607,136.597835,,公園みどり課
12,六社公園,大垣市木戸町957番地100,35.362237,136.597767,,公園みどり課
13,西公園,大垣市日の出町2丁目69番地1,35.357924,136.605719,西公園（東）,公園みどり課
14,西公園,大垣市日の出町2丁目69番地1,35.357784,136.604809,西公園（西）,公園みどり課
15,久瀬川公園,大垣市久瀬川町7丁目5番地9,35.3589,136.60295,,公園みどり課
16,南切石公園,大垣市南切石町1丁目78番地6,35.354277,136.611313,,公園みどり課
17,船町公園（水都公園）,大垣市船町1丁目28,35.357382,136.613615,,公園みどり課
18,南公園,大垣市南頬町4丁目2番地1,35.355457,136.619318,,公園みどり課
19,羽衣公園,大垣市花園町3丁目1番地4,35.358398,136.626587,,公園みどり課
20,寺内公園,大垣市寺内町4丁目94番地1,35.354618,136.613617,,公園みどり課
21,世安公園,大垣市世安町2丁目33番地1,35.349865,136.612322,,公園みどり課
22,宝和公園,大垣市宝和町4,35.369825,136.598541,,公園みどり課
23,南若森ふれあい公園,大垣市南若森町496番地4,35.353139,136.603441,,公園みどり課
24,南若森北公園,大垣市南若森町2丁目86,35.354325,136.600643,,公園みどり課
25,青柳第１公園,大垣市青柳町2丁目317,35.34586,136.598964,,公園みどり課
26,青柳第２公園,大垣市青柳町1丁目278,35.347526,136.60332,,公園みどり課
27,外花公園,大垣市外花2丁目59番地1,35.331288,136.60222,,公園みどり課
28,日新公園,大垣市入方2丁目155,35.3285,136.600136,,公園みどり課
29,多芸島公園,大垣市多芸島2丁目428,35.330084,136.593334,,公園みどり課
30,杭瀬川スポーツ公園,大垣市野口町1654番地1,35.339412,136.597282,橋下,公園みどり課
31,杭瀬川スポーツ公園,大垣市野口町1654番地1,35.33879,136.595902,,公園みどり課
32,杭瀬川スポーツ公園,大垣市野口町1654番地1,35.33869,136.595862,橋下,社会教育スポーツ課（指定管理）
33,杭瀬川スポーツ公園,大垣市野口町1654番地1,35.338591,136.595812,橋下,社会教育スポーツ課（指定管理）
34,中曽根公園,大垣市中曽根町70,35.358675,136.578665,,公園みどり課
35,綾野公園,大垣市綾野1丁目2700番地7,35.348024,136.592412,,公園みどり課
36,新綾野公園,大垣市綾野5丁目125番地4,35.341408,136.586766,,公園みどり課
37,栄町公園,大垣市綾野町3504番地256,35.338431,136.582518,,公園みどり課
38,外渕公園,大垣市外渕2丁目31番地1,35.330105,136.617395,,公園みどり課
39,釜笛公園,大垣市釜笛1丁目102,35.324364,136.609974,,公園みどり課
40,内原公園,大垣市内原2丁目110番地1,35.31755,136.620792,,公園みどり課
41,浅草公園,大垣市浅草1丁目266,35.312848,136.618985,,公園みどり課
42,横曽根公園,大垣市横曽根2丁目157番地1,35.300362,136.608308,,公園みどり課
43,深池公園,大垣市深池町562番地2,35.326396,136.630753,,公園みどり課
44,三城公園,大垣市加賀野5丁目49番地1,35.36395,136.643644,三城公園（東）,公園みどり課
45,三城公園,大垣市加賀野5丁目49番地1,35.36464,136.640988,三城公園（西）,社会教育スポーツ課（指定管理）
46,あずま公園,大垣市東町2丁目78,35.36938,136.65386,,公園みどり課
47,波須公園,大垣市波須1丁目407番地1,35.365552,136.651856,,公園みどり課
48,島里公園,大垣市島里2丁目57,35.324304,136.616676,,公園みどり課
49,木戸北浦公園,大垣市木戸町1255,35.366902,136.598047,,公園みどり課
50,築捨公園,大垣市築捨町1丁目176,35.340664,136.624188,,公園みどり課
51,本今公園,大垣市本今4丁目83番地1,35.345556,136.609456,,公園みどり課
52,江東公園,大垣市浅草2丁目16,35.314188,136.616456,,公園みどり課
53,割田高架下公園,大垣市割田1丁目250番地12,35.3379,136.600146,,公園みどり課
54,美和町広場,大垣市美和町1703番地1,35.35166,136.615258,,公園みどり課
55,内原ふれあい公園,大垣市内原1丁目80番地,35.320351,136.615139,,公園みどり課
56,大垣駅南北自由通路,大垣市林町6丁目80番地30,35.36767,136.618044,大垣駅北口,市街地整備課
57,大垣駅南口,大垣市高屋町1丁目,35.366566,136.61713,,環境衛生課
58,高砂町,大垣市高砂町1丁目33,35.363692,136.615,,環境衛生課
59,室町公園,大垣市室町1丁目84,35.364302,136.612513,,公園みどり課
60,藤江高架橋下公園,大垣市林町1丁目140番地9,35.368036,136.624065,,公園みどり課
61,むろみ公園,大垣市室村町3丁目123番地1,35.368986,136.611986,,公園みどり課
62,林第１公園,大垣市林町5丁目60番地2,35.369807,136.619723,,公園みどり課
63,八島公園,大垣市八島町2622,35.377995,136.612275,,公園みどり課
64,笠木公園,大垣市笠木町95,35.375862,136.601554,,公園みどり課
65,西沖公園,大垣市河間町4丁目32番地1,35.381024,136.601976,,公園みどり課
66,牧野公園,大垣市牧野町3丁目177,35.38367,136.577414,,公園みどり課
67,勝山公園,大垣市荒尾町40,35.38029,136.578184,,公園みどり課
68,くまの北公園,大垣市熊野町4丁目94,35.37737,136.586947,,公園みどり課
69,くまの南公園,大垣市熊野町2丁目18,35.372921,136.585944,,公園みどり課
70,玉池公園,大垣市荒尾玉池1丁目61,35.377863,136.575899,,公園みどり課
71,中川公園,大垣市中川町2丁目190番地1,35.383466,136.61717,,公園みどり課
72,開発公園,大垣市開発町5丁目2番地1,35.382498,136.641741,,公園みどり課
73,和合公園,大垣市大島町2丁目1,35.386873,136.635479,,公園みどり課
74,和合中央公園,大垣市開発町5丁目86番地1,35.379103,136.642114,,公園みどり課
75,津布良公園,大垣市津村町1丁目45番地13,35.385438,136.644032,,公園みどり課
76,曽根城公園,大垣市曽根町1丁目716番地1,35.403724,136.618977,,公園みどり課
77,加賀野名水公園,大垣市加賀野1丁目121番地1,35.374122,136.635126,,公園みどり課
78,長松公園,大垣市長松町847番地91,35.366777,136.566042,,公園みどり課
79,長松新田公園,大垣市長松町1036,35.362166,136.562745,,公園みどり課
80,河間跨線橋下公園,大垣市河間町5丁目495番地3,35.385308,136.600733,,公園みどり課
81,池尻公園,大垣市池尻町1535番地1,35.389088,136.598677,,公園みどり課
82,興福地公園,大垣市興福地町1丁目63番地2,35.392222,136.602316,,公園みどり課
83,きたおき公園,大垣市赤坂町6035,35.394592,136.584761,,公園みどり課
84,赤坂跨線橋下東公園,大垣市赤坂大門2丁目86番地2,35.382298,136.582662,,公園みどり課
85,赤坂跨線橋下西公園,大垣市赤坂町836番地2,35.382457,136.58131,,公園みどり課
86,赤坂公園,大垣市赤坂町3347番地1,35.39243,136.581574,,公園みどり課
87,赤坂本陣公園,大垣市赤坂町251番地1,35.38976,136.582534,,公園みどり課
88,昼飯公園,大垣市昼飯町190番地3,35.386684,136.572377,,公園みどり課
89,矢道公園,大垣市矢道町2丁目219,35.374696,136.564156,,公園みどり課
90,榎戸公園,大垣市榎戸町1丁目157,35.378974,136.561626,,公園みどり課
91,青野公園,大垣市青野町839,35.382162,136.558111,,公園みどり課
92,青墓公園,大垣市青墓町1丁目362番地2,35.388925,136.561663,,公園みどり課
93,青野霊園,大垣市青野町485番地1,35.389355,136.557777,,環境衛生課
94,歴史民俗資料館,大垣市青野町1180番地1,35.38605,136.55214,,文化振興課
95,憩の森遊歩道,大垣市青墓町5丁目789番地付近,35.39646,136.558866,憩の森遊歩道（東）,社会教育ｽﾎﾟｰﾂ課
96,憩の森遊歩道,大垣市青墓町5丁目886番地付近,35.39912,136.55565,憩の森遊歩道（西）,社会教育ｽﾎﾟｰﾂ課
97,稲葉第１公園,大垣市稲葉西1丁目34,35.374927,136.549958,,公園みどり課
98,稲葉第２公園,大垣市稲葉北2丁目35,35.376787,136.552875,,公園みどり課
99,稲葉第３公園,大垣市稲葉東3丁目7,35.37593,136.554056,,公園みどり課
100,和合本町公園,大垣市和合本町1丁目804,35.376406,136.64329,,公園みどり課
101,荒川公園,大垣市荒川町204番地1,35.363715,136.574637,,公園みどり課
102,昼飯南公園,大垣市昼飯町412番地1,35.379687,136.57164,,公園みどり課
103,宿地公園,大垣市宿地町1079番地1,35.376127,136.61076,,公園みどり課
104,楽田ふれあい公園,大垣市楽田町8丁目8番地1,35.384558,136.622276,,公園みどり課
105,さくら公園,大垣市牧野町4丁目120番地1,35.381228,136.576164,,公園みどり課
106,貝曽根いづか公園,大垣市貝曽根町14番地1,35.375847,136.628056,,公園みどり課
107,和合新町ふれあい公園,大垣市和合新町1丁目4番地,35.375246,136.650836,,公園みどり課
108,墨俣一夜城址公園,大垣市墨俣町墨俣1742番地1,35.367295,136.687585,,公園みどり課
109,墨俣西公園,大垣市墨俣町二ツ木38番地1,35.36535,136.675958,,公園みどり課
110,北公園,大垣市八島町2247,35.372779,136.613316,野球場（西）,社会教育スポーツ課（指定管理）
111,北公園,大垣市八島町2247,35.372712,136.615072,野球場（東）,社会教育スポーツ課（指定管理）
112,赤坂スポーツ公園,大垣市草道島町40番地1,35.400918,136.590408,管理棟（東）,社会教育スポーツ課（指定管理）
113,赤坂スポーツ公園,大垣市草道島町40番地1,35.402514,136.592216,赤坂スポーツ公園（北東）,社会教育スポーツ課（指定管理）
114,浅中公園,大垣市浅中2丁目11番地1,35.314518,136.604688,陸上競技場（南）,社会教育スポーツ課（指定管理）
115,浅中公園,大垣市浅中2丁目11番地1,35.315928,136.606188,陸上競技場（北東）,社会教育スポーツ課（指定管理）
116,浅中公園,大垣市浅中2丁目11番地1,35.313318,136.603714,野球場（西）,社会教育スポーツ課（指定管理）
117,浅中公園,大垣市浅中2丁目11番地1,35.31564,136.60308,多目的ｸﾞﾗｳﾝﾄﾞ（管理棟1階）,社会教育スポーツ課（指定管理）
118,かみいしづ緑の村公園,大垣市上石津町前が瀬上多良入会1番地1,35.260188,136.469522,駐車場,公園みどり課（指定管理）
119,墨俣北霊園,大垣市墨俣町さい川1番地,35.367956,136.681157,駐車場,環境衛生課
